file_id,filename,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,zcr_mean,zcr_std,energy_mean,energy_std,centroid_mean,centroid_std
GapPidut5nk,GapPidut5nk.wav,285.803122482228,74.10206329603162,-26.870699978326176,27.00648696995891,-1.0397687676824143,20.77681760454529,-3.530084060178813,15.846251581953968,-7.819390261051549,12.088770503516791,-10.098319433471438,10.804770224068404,-13.59819386777447,10.473063686323853,-4.750787958811341,8.483188906581105,-4.07556390696753,8.506694148316637,-6.832865294164831,8.65894449780107,-6.9180713956702995,6.427031234609666,-10.458621505504043,6.424798133732072,-8.27664592827945,6.329807298570836,0.39084204513993437,0.1785545756697694,427.10129867520845,491.12454232409993,3681.6756615377826,999.030591420897
m8VTL7jXleg,m8VTL7jXleg.wav,275.1437902199853,74.01118109499484,-18.038894204853587,32.29639338813374,-27.401631558500075,21.25995340943518,-1.33550043804516,15.57092275164179,-20.307555452455063,14.872220861815649,-13.122531358386425,11.413667832147377,-10.592443613278371,9.63496164057556,-11.006279969578454,8.438381045361607,-5.73723074122584,7.338829966051794,-11.967340873517557,7.297972499335708,-6.420098288920695,7.402267161230411,-9.437406250493753,6.996025508721497,-4.407367528944265,5.748285095952171,0.32296687189418344,0.17144731364414412,445.93072182922884,448.0632735594265,3025.771310727125,1107.1734621431044
6DV_6-4gWd8,6DV_6-4gWd8.wav,220.1268337149764,134.89595531333413,-1.108080974691764,52.43998262184623,-32.226918117949886,36.44708666046778,3.652362531995824,26.491054842221644,-16.239712652215466,20.45762021858195,-24.131144298781763,20.27447081133522,-12.504890460620464,14.426279890369011,-8.528127761488069,13.493058529027254,-3.8971406643916744,10.302475090213878,-7.573666892331757,8.670562680709894,-5.531940538446117,8.448392562668786,-4.499886191874554,7.873515269141173,-2.5299953834058324,6.90608806962258,0.2602021403190994,0.18200044643808014,447.4531475315715,566.1219390610732,2477.6276166844946,1372.460203583977
DHO1o5F-pLw,DHO1o5F-pLw.wav,279.0534461498762,69.9579162585468,-4.958180038879076,29.204257431873266,-24.095844330689086,19.560531651302473,-13.42338155983184,16.02372499499442,-9.919768245945498,9.694899534409371,-17.20197520035608,12.307517395829011,-9.99994732157749,8.339572543162518,-10.04584884556655,7.880124518413632,-7.791475801526041,9.17859722666101,-5.540838976726379,6.888918971231349,-8.915331376553892,6.644185557158179,-4.388346567602496,5.5222863557057185,-7.890755004704816,6.21486333104194,0.26939364768157675,0.160794393395205,420.1610531093859,471.5192253041166,2735.683545723076,1034.4488016727896
tImrz6QFEnc,tImrz6QFEnc.wav,237.808317072635,85.12512385853204,-6.980732547699766,50.04227533133494,-2.237887936576379,26.364421945758085,23.086455422983164,21.496189475379676,-10.937593549487051,14.93957159055779,-17.761558925807407,15.503238208123014,-13.637671343643182,11.844694082899919,-11.94185815492215,10.023688492838852,-8.798867042550508,8.628920037796663,-4.719476909676244,8.742382352829479,-5.882915874938134,6.723578429558329,-3.679851131766493,7.5874070202974835,-6.878817816583761,6.963610284970347,0.28161004701534853,0.18715217439653578,357.68583381855024,395.9295131109897,2665.974447268767,1294.3427265093542
ZxCY6RF_ZB0,ZxCY6RF_ZB0.wav,296.3751120821587,58.977816641306006,-16.340910122964598,26.739394631589995,-25.178609745024545,23.199468417358144,-5.646944447768951,14.923433899047259,-18.673157282474882,14.44289811682939,-14.826393113934694,12.518278354767059,-13.79671893240273,11.211580274455438,-9.457360282315884,9.737182009686762,-0.9766408284350065,9.655159098646559,-5.898843868072552,7.609843660435609,-4.230473832631353,7.638306846913665,-7.1774596011736245,7.4545626864742385,-4.332301351621443,6.477764060274642,0.3028088763888299,0.17060509323543283,540.6847240453366,526.2430190732659,2948.4269499602333,1054.5000251790016
NlLmAbt7Q9k,NlLmAbt7Q9k.wav,299.81788148428836,68.40719516266002,-15.966339142127827,34.06585589011719,-14.163609947799015,17.38327793508795,-7.630484630510335,13.005476927966756,-11.344822461591464,10.916956514329595,-8.040466747331841,8.63776702264503,-12.32008152100506,8.914835958941302,-3.701710567175097,7.487053217469856,-6.833944373037786,6.853870385114233,-5.847565940352192,7.514915771360213,-5.105520187617518,5.326135648895028,-4.688819643344184,5.599769305565992,-6.9335783451252535,6.37158140133186,0.3224068600663208,0.1546628852629377,465.7794517299154,477.4805699995103,3100.9279182083837,984.0258107439316
Gt6ZYdhRW5k,Gt6ZYdhRW5k.wav,264.4182666411506,80.0187034598174,-22.224512100178067,37.088737951120166,-25.835713891432505,22.49069670969001,-13.215667438831604,18.067799414579696,-14.107058240112059,11.93417280548442,-13.64178018198265,13.110331024239631,-5.881521569647106,10.27355289196318,-8.31469605586552,9.826545888926129,-8.382212798055534,8.758864745977185,-6.711218410079598,7.113244141598618,-4.212272481790278,7.317593737034115,-7.695866626902474,7.38244046409522,-5.934690633592308,6.431324538769584,0.31473494909991795,0.19289172201407576,446.5900615538464,494.5935249797495,3067.921968820718,1218.0179134477878
u8ADrC5FOCA,u8ADrC5FOCA.wav,250.96101599778015,77.87781411438993,4.041404475403831,43.26373571979333,-3.2760005340732508,20.739144995323542,2.1312917348058718,14.764968451163222,-6.740460403897965,11.23194363921112,-9.076060050536423,11.838323071555141,-14.53165544508023,10.141638401238724,-6.7545051587927825,7.776467334301955,-11.996070320570063,8.137116918466408,-6.365835937769406,7.215789766557557,-5.693225103606392,5.963230316791825,-4.642917836663828,6.447648271669672,-6.6861644921141155,5.593694852844856,0.2399560368254272,0.18357711912439734,308.25616099474826,364.3649278033967,2543.2911987437715,1275.7067538400854
_8BKbEbwCLE,_8BKbEbwCLE.wav,256.8674090238743,131.0507308580274,-14.971626615196092,48.10904695035391,-9.965703326809246,25.81759535550332,-2.7667978688052197,15.982188036593277,-6.071600343374777,13.637066122323676,-11.31156732616245,11.63806073227349,-11.190637396162964,9.742941034366465,-10.232685165769349,9.288550161628455,-11.313416483988792,7.463146684304962,-8.449849723408231,7.549545524259347,-7.839576479751029,6.806255438456345,-2.8254242190624663,5.759236815124157,-8.307187528733676,6.296852127345734,0.3320564337010963,0.21538422224902154,510.03808749643855,650.3208072983168,3115.624510551467,1483.6901039822017
